AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	"4r5au"
D-LACTATE	"lac__D"
S2O3	"tsul"
DEOXYINOSINE	"din"
TUNGSTATE	"tungs"
TRIMETHYLAMINE-N-O	"tmao"
CHOLINE	"chol"
BISOHMYR-GLUCOSAMINYL-1P	"lipidX"
BUTYRIC_ACID	"but"
CPD-9728	"mqn8"
FADH2	"fadh2"
D-ALTRONATE	"altrn"
N-ACETYL-D-MANNOSAMINE	"acmana"
CPD-7100	"3c4mop"
2-3-DIHYDROXYBENZOATE	"23dhb"
L-XYLULOSE-5-P	"xu5p__L"
IMIDAZOLE-ACETOL-P	"imacp"
5-AMINO-LEVULINATE	"5aop"
CYTIDINE	"cytd"
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	"4ppcys"
CDP	"cdp"
ACETOACETYL-COA	"aacoa"
CIT	"cit"
LIPID-IV-A	"lipidA"
DIMP	"dimp"
CL-	"cl"
GLYCEROL	"glyc"
CMP	"cmp"
DEOXY-D-RIBOSE-1-PHOSPHATE	"2dr1p"
PHOSPHORIBOSYL-AMP	"prbamp"
DEOXYADENOSINE	"dad_2"
MELIBIOSE	"melib"
DITP	"ditp"
CU+	"cu"
CTP	"ctp"
CYS	"cys__L"
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	"fpram"
CPD-8353	"1agpe160"
ARSENATE	"aso4"
Hexadecenoates	"hdcea"
CPD-8363	"2agpg160"
MALONYL-COA	"malcoa"
GLYCOLLATE	"glyclt"
C1	"ugmda"
C5	"uagmda"
C6	"uaagmda"
AMINO-OXOBUT	"2aobut"
DIMETHYL-D-RIBITYL-LUMAZINE	"dmlz"
SIROHEME	"sheme"
SULFUR-DIOXIDE	"so2"
HS	"h2s"
INDOLE	"indole"
DPG	"13dpg"
GLYCEROL-3P	"glyc3p"
K+	"k"
IMINOASPARTATE	"iasp"
TARTRONATE-S-ALD	"2h3oppan"
PYRIDOXINE-5P	"pdx5p"
Pi	"pi"
D-ALLULOSE-6-PHOSPHATE	"allul6p"
CPD-3	"mobd"
ADENYLOSUCC	"dcamp"
3-HYDROXYPHENYL-PROPIONATE	"3hpppn"
GALACTOSE-1P	"gal1p"
4-P-PANTOTHENATE	"4ppan"
DEMETHYLMENAQUINONE	"2dmmq8"
CPD-8260	"pg160"
5-P-BETA-D-RIBOSYL-AMINE	"pram"
CYS-GLY	"cgly"
PROPIONYL-COA	"ppcoa"
NI+2	"ni2"
DIHYDROXY-ACETONE-PHOSPHATE	"dhap"
2-DEHYDROPANTOATE	"2dhp"
L-ALPHA-ALANINE	"ala__L"
OLEATE-CPD	"ocdcea"
L-1-GLYCERO-PHOSPHORYLCHOLINE	"g3pc"
DOPAMINE	"dopa"
PYRUVATE	"pyr"
L-ASCORBATE-6-PHOSPHATE	"ascb6p"
4-CYTIDINE-5-DIPHOSPHO-2-C	"4c2me"
10-FORMYL-THF	"10fthf"
N-23-DIHYDROXYBENZOYL-L-SERINE	"23dhbzs"
2-OCTAPRENYL-6-HYDROXYPHENOL	"2ohph"
HYDROQUINONE	"hqn"
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	"2mahmp"
1-PALMITOYLGLYCEROL-3-PHOSPHATE	"1hdecg3p"
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	"sl26da"
CROTONYL-COA	"b2coa"
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	"2mecdp"
SUCCINYL-OH-CYCLOHEXADIENE-COOH	"2shchc"
2-DEHYDRO-3-DEOXY-D-GALACTONATE	"2dh3dgal"
FAD	"fad"
N-ACETYL-D-GLUCOSAMINE-6-P	"acgam6p"
CADAVERINE	"15dap"
ADP-D-GLUCOSE	"adpglc"
CPD-9451	"2ippm"
ACET	"ac"
4-AMINO-BUTYRATE	"4abut"
REDUCED-MENAQUINONE	"mql8"
FMN	"fmn"
NACMUR	"acmum"
MG+2	"mg2"
CARBON-DIOXIDE	"co2"
G3P	"3pg"
FORMATE	"for"
URACIL	"ura"
FUM	"fum"
TDP-D-FUCOSAMINE	"dtdp4addg"
L-1-GLYCEROPHOSPHORYLETHANOL-AMINE	"g3pe"
3-ENOLPYRUVYL-SHIKIMATE-5P	"3psme"
OCTAPRENYL-METHOXY-BENZOQUINONE	"2ombzl"
GAP	"g3p"
CPD-8891	"12ppd__R"
DTDP-DEOH-DEOXY-GLUCOSE	"dtdp4d6dg"
D-GALACTARATE	"galct__D"
GDP	"gdp"
XANTHOSINE	"xtsn"
ZN+2	"zn2"
FRUCTOSELYSINE	"frulys"
T2-DECENOYL-COA	"dc2coa"
GLC	"glc__D"
GLN	"gln__L"
GLT	"glu__L"
GLY	"gly"
GMP	"gmp"
N2-SUCCINYLGLUTAMATE	"sucglu"
PANTETHEINE-P	"pan4p"
DMSO	"dmso"
B-ALANINE	"ala_B"
GTP	"gtp"
HEXANOATE	"hxa"
DIHYDROXYACETONE	"dha"
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	"gdpddman"
URATE	"urate"
HCN	"cyan"
RHAMNULOSE-1P	"rml1p"
SIROHYDROCHLORIN	"scl"
HOMO-SER	"hom__L"
HIS	"his__L"
CARBAMOYL-P	"cbp"
HMP	"4ahmmp"
D-ALA-D-ALA	"alaala"
C55-PP-GLCNAC-MANNACA	"unagamu"
LL-DIAMINOPIMELATE	"26dap_LL"
FMNH2	"fmnh2"
3-PHENYLPROPIONATE	"pppn"
GALACTITOL-1-PHOSPHATE	"galt1p"
OXIDIZED-GLUTATHIONE	"gthox"
S-ADENOSYLMETHIONINE	"amet"
DEOXYCYTIDINE	"dcyt"
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	"2dh3dgal6p"
BETAINE	"glyb"
CPD-9956	"q8h2"
PHOSPHORIBOSYL-ATP	"prbatp"
ADENINE	"ade"
GLUCOSAMINE-1P	"gam1p"
L-THREONINE-O-3-PHOSPHATE	"thrp"
IDP	"idp"
3OH-4P-OH-ALPHA-KETOBUTYRATE	"ohpb"
NICOTINATE_NUCLEOTIDE	"nicrnt"
MANNOSE-6P	"man6p"
ETHANOL-AMINE	"etha"
L-ASPARTATE	"asp__L"
GLC-6-P	"g6p"
ILE	"ile__L"
PRPP	"prpp"
STEARIC_ACID	"ocdca"
IMP	"imp"
BUTANAL	"btal"
DEOXYXYLULOSE-5P	"dxyl5p"
MANNOSE-1P	"man1p"
N2-SUCCINYLORNITHINE	"sucorn"
ITP	"itp"
OROTIDINE-5-PHOSPHATE	"orot5p"
O-SUCCINYL-L-HOMOSERINE	"suchms"
MANNITOL	"mnl"
2-3-DIHYDROXYPHENYL-PROPIONATE	"dhpppn"
MONOMETHYL-ESTER-OF-TRANS-ACONITATE	"aconm"
GDP-TP	"gdptp"
CPD-7222	"dd2coa"
ANTHRANILATE	"anth"
ACETYLSERINE	"acser"
CH33ADO	"dad_5"
DIHYDROPTERIN-CH2OH-PP	"6hmhptpp"
P-AMINO-BENZOATE	"4abz"
CPD-7246	"acgal1p"
FORMALDEHYDE	"fald"
MALTOTRIOSE	"malttr"
S-ALLANTOIN	"alltn"
D-SEDOHEPTULOSE-7-P	"s7p"
FERRIC-CITRATE-COMPLEX	"fe3dcit"
FUCULOSE-1P	"fc1p"
CPD0-2030	"g3ps"
L-ASPARTATE-SEMIALDEHYDE	"aspsa"
OXOPENTENOATE	"op4en"
ADENOSINE	"adn"
KDO	"kdo"
CPD-22550	"C14388"
D-GALACTURONATE	"galur"
UDP-D-GALACTO-14-FURANOSE	"udpgalfur"
CO+2	"cobalt2"
ETOH	"etoh"
2K-4CH3-PENTANOATE	"4mop"
D-ALLOSE-6-PHOSPHATE	"all6p"
TETRADECANOYL-COA	"tdcoa"
CO-A	"coa"
TAGATOSE-6-PHOSPHATE	"tag6p__D"
L-RIBULOSE	"rbl__L"
CPD-1772	"aacald"
CYTOSINE	"csn"
GUANINE	"gua"
ACETYL-P	"actp"
SUCC-S-ALD	"sucsal"
LEU	"leu__L"
GLC-1-P	"g1p"
UDP-N-ACETYLMURAMATE	"uamr"
4-HYDROXY-2-KETOVALERATE	"4h2opntn"
THIAMINE-PYROPHOSPHATE	"thmpp"
2-KETO-3-DEOXY-6-P-GLUCONATE	"2ddg6p"
OXYGEN-MOLECULE	"o2"
LYS	"lys__L"
K-HEXANOYL-COA	"3ohcoa"
CPD0-930	"hhlipa"
CPD0-939	"colipa"
CPD0-929	"hlipa"
Glycogens	"glycogen"
XANTHINE	"xan"
CPD0-2290	"aragund"
CPD0-2292	"anhgm4p"
CPD0-2294	"eca4colipa"
CPD0-2293	"acolipa"
DEOXYGUANOSINE	"dgsn"
CPD0-2296	"murein5px4px4p"
CPD0-2295	"icolipa"
N-5-PHOSPHORIBOSYL-ANTHRANILATE	"pran"
CPD0-2280	"o16a3und"
CPD0-2283	"murein5p5p"
CPD0-2284	"anhm3p"
CPD0-2287	"murein5p3p"
CPD0-2289	"ragund"
CPD0-2288	"murein4px4px4p"
CPD0-2270	"murein4px4p"
CPD0-2272	"murein3p3p"
CPD0-2274	"murein4p3p"
MAL	"mal__L"
CPD0-2273	"murein3px4p"
AICAR	"aicar"
CPD0-2278	"murein5px4p"
CPD0-2277	"murein3px3p"
CPD0-2279	"o16aund"
CPD0-2261	"ggagicolipa"
CPD0-2262	"cpgn_un"
CPD0-2264	"hacolipa"
CPD0-2266	"murein4px4p4p"
CPD0-2269	"murein4p4p"
CPD0-2268	"o16a2und"
CPD0-2259	"gggagicolipa"
CPD0-2253	"3hodcoa"
CPD0-2258	"gagicolipa"
CPD0-2257	"kphphhlipa"
CPD0-2249	"o16a4colipa"
CPD0-2241	"fecrm"
CPD0-2240	"phhlipa"
CPD0-2245	"murein5p4p"
CPD0-2244	"3hdcoa"
CPD0-2247	"gicolipa"
S-LACTOYL-GLUTATHIONE	"lgt__S"
CPD0-2238	"hphhlipa"
CPD0-2239	"phphhlipa"
CPD0-2230	"pgp161"
CPD0-2232	"3hhdcoa"
CPD0-2231	"didp"
CPD0-2234	"arbtn_fe3"
MET	"met__L"
CHORISMATE	"chor"
CPD0-2227	"odecoa"
CPD0-2229	"2agpg181"
CPD0-2228	"tdecoa"
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	"cechddd"
CPD0-2220	"1odec11eg3p"
CPD0-2223	"2agpe180"
CPD0-2216	"cpe160"
CPD0-2215	"garagund"
CPD0-2218	"cpe180"
CPD0-2217	"cpg180"
CPD0-2219	"gfgaragund"
CPD0-2214	"o16a4und"
CPD0-2213	"murein5p5p5p"
CPD-10796	"dhcinnm"
CPD-10797	"3hcinnm"
5-KETO-4-DEOXY-D-GLUCARATE	"5dh4dglc"
PYRIDOXINE	"pydxn"
PYRIDOXAMINE-5P	"pyam5p"
MN+2	"mn2"
GLUTAMATE-1-SEMIALDEHYDE	"glu1sa"
SORBITOL	"sbt__D"
CPD-2961	"6pgc"
OH-PYR	"hpyr"
ASCORBATE	"ascb__L"
PORPHOBILINOGEN	"ppbng"
CPD0-881	"acmum6p"
CPD0-882	"anhm"
CPD0-2190	"LalaDglu"
CPD0-2192	"apg140"
CPD0-2195	"apg180"
CPD0-2194	"apg120"
CPD0-2197	"apg160"
