,0
0,META:Glucopyranose
1,META:GLN
2,META:GLN
3,"['META:Glutamates', 'META:GLT']"
4,"['META:Glutamates', 'META:GLT']"
5,META:GLYOX
6,"['META:CPD-15815', 'META:OXONIUM', 'META:HYDROXYL-GROUP', 'META:WATER', 'META:OH']"
7,"['META:CPD-15815', 'META:OXONIUM', 'META:HYDROXYL-GROUP', 'META:WATER', 'META:OH']"
8,META:PROTON
9,META:PROTON
10,
11,META:D-LACTATE
12,META:D-LACTATE
13,META:MAL
14,META:MAL
15,META:NAD
16,META:NADH
17,META:NADP
18,META:NADPH
19,"['META:AMMONIUM', 'META:AMMONIA']"
20,META:DPG
21,"['META:AMMONIUM', 'META:AMMONIA']"
22,META:OXYGEN-MOLECULE
23,META:2-PG
24,META:OXYGEN-MOLECULE
25,META:G3P
26,META:OXALACETIC_ACID
27,META:PHOSPHO-ENOL-PYRUVATE
28,META:CPD-2961
29,"['META:Pi', 'META:CPD-16459', 'META:PHOSPHATE-GROUP']"
30,META:D-6-P-GLUCONO-DELTA-LACTONE
31,"['META:Pi', 'META:CPD-16459', 'META:PHOSPHATE-GROUP']"
32,META:ACET
33,META:PYRUVATE
34,META:PYRUVATE
35,META:UBIQUINONE-8
36,META:CPD-9956
37,META:CPD-15318
38,META:RIBULOSE-5P
39,META:ACET
40,META:ACETALD
41,META:D-SEDOHEPTULOSE-7-P
42,META:ACETALD
43,META:ACETYL-COA
44,META:SUC
45,META:SUC
46,META:SUC-COA
47,META:CIS-ACONITATE
48,META:XYLULOSE-5-PHOSPHATE
49,META:ACETYL-P
50,META:ADP
51,META:2-KETOGLUTARATE
52,META:2-KETOGLUTARATE
53,"['META:AMP-GROUP', 'META:AMP']"
54,META:ATP
55,META:CIT
56,META:CARBON-DIOXIDE
57,META:CARBON-DIOXIDE
58,"['META:COA-GROUP', 'META:CO-A']"
59,META:DIHYDROXY-ACETONE-PHOSPHATE
60,META:ERYTHROSE-4P
61,META:ETOH
62,META:ETOH
63,META:FRUCTOSE-6P
64,
65,"['META:CPD1G-1532', 'META:CPD1G-1535', 'META:FORMATE', 'META:CPD-9845', 'META:CPD1G-1534', 'META:CARBOXYL-GROUP', 'META:CPD1G-1533']"
66,"['META:CPD1G-1532', 'META:CPD1G-1535', 'META:FORMATE', 'META:CPD-9845', 'META:CPD1G-1534', 'META:CARBOXYL-GROUP', 'META:CPD1G-1533']"
67,"['META:D-Fructopyranose', 'META:Fructofuranose', 'META:CPD-15382', 'META:FRU']"
68,META:FUM
69,META:FUM
70,META:GAP
71,META:D-glucopyranose-6-phosphate
